关羽,刘备,85
关羽,司马懿,2
关羽,吕布,8
关羽,周瑜,8
关羽,夏侯惇,4
关羽,夏侯渊,2
关羽,孙权,22
关羽,张辽,18
关羽,张飞,40
关羽,曹操,74
关羽,董卓,6
关羽,袁术,5
关羽,诸葛亮,38
关羽,赵云,15
刘备,司马懿,6
刘备,吕布,43
刘备,周瑜,33
刘备,夏侯惇,14
刘备,夏侯渊,13
刘备,孙权,50
刘备,孙策,7
刘备,张辽,28
刘备,张飞,84
刘备,曹操,145
刘备,董卓,18
刘备,袁术,20
刘备,诸葛亮,112
刘备,赵云,52
司马懿,夏侯惇,1
司马懿,夏侯渊,1
司马懿,孙权,10
司马懿,张辽,2
司马懿,张飞,1
司马懿,曹操,7
司马懿,诸葛亮,81
司马懿,赵云,2
吕布,周瑜,2
吕布,夏侯惇,6
吕布,夏侯渊,8
吕布,孙权,2
吕布,孙策,4
吕布,张辽,15
吕布,张飞,16
吕布,曹操,37
吕布,董卓,26
吕布,袁术,23
吕布,诸葛亮,3
吕布,赵云,2
周瑜,夏侯惇,1
周瑜,孙权,27
周瑜,孙策,6
周瑜,张辽,3
周瑜,张飞,5
周瑜,曹操,39
周瑜,袁术,3
周瑜,诸葛亮,45
周瑜,赵云,5
夏侯惇,夏侯渊,16
夏侯惇,孙权,2
夏侯惇,张辽,12
夏侯惇,张飞,6
夏侯惇,曹操,28
夏侯惇,董卓,2
夏侯惇,袁术,1
夏侯惇,诸葛亮,6
夏侯惇,赵云,5
夏侯渊,孙权,2
夏侯渊,张辽,10
夏侯渊,张飞,7
夏侯渊,曹操,35
夏侯渊,董卓,3
夏侯渊,袁术,2
夏侯渊,诸葛亮,5
夏侯渊,赵云,2
孙权,孙策,9
孙权,张辽,11
孙权,张飞,3
孙权,曹操,49
孙权,董卓,1
孙权,袁术,3
孙权,诸葛亮,32
孙权,赵云,10
孙策,张辽,2
孙策,曹操,11
孙策,董卓,2
孙策,袁术,10
孙策,诸葛亮,1
张辽,张飞,12
张辽,曹操,40
张辽,董卓,1
张辽,袁术,4
张辽,诸葛亮,7
张辽,赵云,2
张飞,曹操,33
张飞,董卓,9
张飞,袁术,6
张飞,诸葛亮,41
张飞,赵云,28
曹操,董卓,16
曹操,袁术,22
曹操,诸葛亮,66
曹操,赵云,23
董卓,袁术,9
董卓,诸葛亮,3
董卓,赵云,2
袁术,诸葛亮,4
诸葛亮,赵云,52
